i,u|you 
cheats,sleeps|gh|dcd|repotr|tks|agreed|ghj|okk|nj|gotcha
switched,recalled|invaded|suicided|dove|taunted|changed|fixed|soloed|lucked|known
kamikaze,prooo|zwo|dum|behindert|boon|olol|toll|ehrlich|male|papa
toy,eri|papa|nose|fds|kurac|kl|tanke|botas|mae|venga
verlieren,gewinnen|reden|oben|werden|wissen|dass|ficken|zusammen|tut|weiter
avez,vous|etes|allez|donc|sont|alors|tous|laisse|lui|aussi
active,sem|tenho|landed|usa|aura|tens|skil|maj|bom|exei
selfish,whiny|dirty|disgusting|cocksucker|retared|immature|ignorant|cryer|kiddie|sucha
pzl,vyane|yess|lz|plase|plizz|plesae|plese|tarik|ssss|rivne
global,buged|smartcast|teemos|heh|knockup|woops|darn|ign|critical|fuuuuu
pod,czemu|tego|raz|wiem|nei|moze|teraz|nawet|samo|juz
lu,abi|gran|orospu|nooba|nik|mul|hahahahahahah|rouge|moin|ole
fj,omgh|opmg|omng|nice1|yw|gotcha|ghj|hahahahahahahah|gooooo|jajajajajaja
gens,francais|ais|fran|gars|voir|etes|donc|ouai|jte|encore
bump,fous|hahhaa|repoort|sacrifice|moin|cage|root|juke|stunt|headbutt
mob,kasa
grande,ami|tellement|tete|sal|merd|pete|enculer|ahi|chi|fermer
firs,firts|fisrt|frist|nex|firt|fist|5th|nxt|trolol|6th
pres,idem|dani|yess|vot|doi|aora|jeje|fc|gran|calla
suffer,sck|milk|rip|scape|bite|drink|diee|apologize|smd|pentakill
suerte,peor|dices|haces|malo|cosa|buena|tonto|estar|creo|dios
practice,5vs5|fit|channel|lies
aff,yw|gotcha|gooooo|wtffff|tyty|mimi|wops|omgh|gh|trololololo
underfarmed,immortal|rich|stoned|ussles|unkillable|hungry|godlike|surprised|dominating|dea
managed,tries|decided|refuses|refused|unable
nazis,elohell|trollers|ragers|suckers|niggers|randoms|jews|germans|gays|russians
hwo,thath|meee|thet|gargas|phanteon|seriosly|animals|awh|yoou|youu
surprised,confused|hungry|annoyed|laging|immortal|stoned|smurfing|rich|recording|basing
ostia,gilipollas|partida|calla|linea|equipo|gente|colega|retrasado|verdad|mio
sisi,jugando|nx|ole|putta|colega|sim|amos|maricon|valla|estar
nonsense,shiiit|pedobear|geek|wanker|shithead|mongol|aaa|baddies|bitche|lololo
rip,smash|fukc|gangbang|bite|interupt|woop|poop|smd|fcuk|reboot
dei,dus|lekker|nou|nog|dabei|alta|schuhe|nochmal|nej|dacht
white,chuck|gangster|male|beginner|living|batman|italian|kl|nasty|law
samo,kes|fare|kurac|nei|tez|jebany|nx|pra|dobrze|kad
learning,testing|ignoring|recording|listening|beginner|confused|laging|tryharding|laggin|stoned
comeing,heading|comign|2ss|wardet|basing|commin|warde|coime|hallo|cming
lt,david|aie|jaa|vittu|orospu|br|kanacke|fitta|idioten|fg
agresive,agressiv|aggresive|agressive|aggressive|brave|ussles|baad|mature|lazy|guud
subnormal,ostia|calla|gilipollas|mete|colega|retrasado|vaya|habla|macho|hijos
hilfe,uns|danke|selbst|sich|wissen|zusammen|voll|sowas|wirklich|andere
correctly,properly
mater,jebem|samo|dobrze|kurac|tez|oti|egw|nei|fare|jebany
tiop,bott|topo|topp|toip|miod|miud|boty|biot|toop|mif
ust,puff|directly|ib|bck|goi|ona|daha|pol|gogogog|nm
ignites,afks|taunts|waves|aps|crits|cm|shields|smites|vs1|leavers
rely,earth|perd|poo|post|jojo|gagner|youtube|depends|cum|clic
dafuk,opmg|nice1|gooooo|mfg|trololololo|laaag|omng|lkol|trolololol|wtffff
error,oups|missclick|laag|laggg|misclick|leon|fml|twicht|oops|saco
code,mouni|exeis|etsi|kad|tr|kanw|note|twra|sens|sas
dyrus,male|pedo|laggin|superman|chuck|beginner|laging|drunken|law|dea
pauvre,gamin|reste|casse|potes|francais|veut|voir|vient|tres|allez
probleme,papa|jos|egw|chatte|nx|skils|famille|jajajja|san|fairplay
comunicate,communicate|discuss
badest,noobest|baddest|dumbest|greatest|worst|easiest|biggest|bigest|hardest|patetic
ome,re1|aora|cuidado|gio|1ss|gi|gaan|wena|comign|depush
poush,puhs|oush|depush|puish|ush|pus|psuh|psh|pushe|commin
ahahahhaha,wtffff|wops|gooooo|lagggg|sryy|hahahahahahahah|opmg|mimi|gotcha|hahahaah
interrupt,lure|deny|interupt|zone|1shot|harrass|crush|nuke|kileld|fling
jugnler,panteon|urf|mudno|fio|twicht|olag|jan|maok|varys|nasusu
wud,woudl|cud|shud|ud|honest|coulda|wouldnt|sould|shouldnt|gonne
dominion,rare|clg|zin|3vs3|reality|testa|classic|guise|mission|2x1
wauw,fuuu|nice1|gotcha|hahahahahha|trahs|nooooooooooob|opmg|repoert|dddd|hahahahahahah
grip,bursted|snared|grabed|fresh|root|abysal|exhasut|six|bow|repoort
schade,stimmt|knapp|jaa|leider|gerne|jop|schuhe|deutscher|typ|kanacke
hon,nej|vet|sk|ny|vi|mig|mt|ju|tez|jos
aer,xo|ostias|sisi|suckk|amos|manu|fkc|porco|boon|esq
arround,facechecking
amor,attackspeed|mercs|recal|penetration|hexdrinker|hog|atmas|resi|gp5|tiamat
pue,doit|potes|vois|casse|baise|tete|salope|reste|avant|veut
vite,genre|gamin|casse|bordel|voir|eux|compte|toujours|ses|tres
luker,jajajaj|fuu|fcuking|pffff|fedder|noop|fff|bigest|lcuker|l2play
whoever,mord
retardet,patetic|baddies|brilliant|uncarryable|reatard|nobb|dum|garbage|retarde|disgusting
meee,ahe|jaxx|tarik|pffffff|xi|woot|wtfff|noooooo|ashee|jea
lcuker,hahahahahahah|lagggg|nooooooooooob|opmg|suicider|nooooooob|ogm|thc|nnoob|noobbb
douchebag,twat|liar|baddie|spastic|joker|slut|geek|bitchh|biitch|jerk
clueless,prooo|immature|sucha|disgusting|pr0|cheated|beginner|tryharding|baad|kamikaze
defence,defense|d3|tornmail|shurelias|oralce|puff|vison|wars|randuin|oen
thier,leme|mby|mah|buf|yoru|theyr|fresh|ineed|11min|ym
iomg,gooooo|yesss|emm|mimi|omgh|wops|opmg|aff|hahahahahahahah|ssbot
iw,usual|asd
4x,xdddddddd|2ss|lalala|yey|5x|pl0x|gogogogo|s1|anf|3x
unlike,sck|hates|suk|fkign|including|loo|admin|ike|nnoob|anal
drg,dargon|drk|splitpush|nahs|drkae|eb|baro|dra|nasor|whut
41,58|86|56|29|44|38|34|49|36|64
tambien,despues|vez|tira|gilipollas|mio|aqui|macho|quien|vaya|calla
dummer,dumme|spasti|hdf|drecks|kleiner|scheiss|behindert|lappen|hurensohn|huso
enemie,nwm|unso|lols|ciao|nooba|noobbb|uncarryable|ahhhh|2ss|mans
infinite,noi|geen|69|sem|nio|88|mass|pene|overrated|84
smid,rieux|apr|tr|faen|dg|tome|sbires|eg|pis|laggg
ef,ntm|surrener|goooo|wtfff|brbr|baylife|recal|opk|gh|sryy
tarik,olag|ashee|varys|xi|tryda|tiwtch|alista|pmg|okej|ezz
youy,yoiu|yiou|ytou|ypou|uy|youu|yuou|ypu|yopu|youi
4vs2,5v2|testa|5vs1|2vs3|fff|amos|3vs2|nooooobs|saco|fora
ler,hin|spa|jude|nochmal|rt|drauf|nder|gerne|ausl|deutschland
iv,shurelyas|omm|jj|david|orospu|5x|bets|soory|nwm|crank
grac,juz|wiem|cie|nawet|teraz|tego|tylko|czemu|chuj|jestes
monde,temps|pue|vient|perdre|mange|tuer|veut|rouge|francais|prend
trsit,twist|fio|caytlin|morder|alista|hari|panteon|heim|tryda|fidd
88,83|69|84|64|98|81|56|86|47|geen
tz,oha|huhu|spoko|nooooooooooob|gotcha|npnp|jajajajaja|wops|wtfff|gooooo
rde,rst|rs|chuj|rd|gro|schei|sie|tte|um|cie
hitted,hited|grabed|dove|kileld|kiled|shielded|insulted|killd|ksed|root
gna,gunna|gonan|basing|chuck|asleep|sarcastic|laggin|laging|mite|4v3
shitting,hating|period|igno|cum|drugs|kiding|poop|rolling|carring|whre
58,86|36|41|49|56|29|44|38|37|47
jan,tee|katha|gra|leon|olag|wk|fora|arg|alex|neger
heul,kleine|schreiben|rum|heute|nciht|runter|selbst|wirklich|zum|alleine
eee,sus|kes|sisi|ko|sm|nx|bom|bana|vo|jos
idio,mongol|rk|oon|suka|fitta|boon|fff|content|plow|ree
finnish,finsih|finsh|finish|ff|surender|regroup|surend|finis|puhs
yor,niggah|idioot|obvius|dum|2gud|jajajaj|noop|kkk|lmfao|woah
boit,boty|tpo|otp|bto|md|biot|toop|toip|wk|botr
ryz,fio|malzhar|hari|vaine|fior|akli|darus|olag|rize|vei
safer,barbie|lego|mario|defensive|tetris|pokemon|tutorial|pacman|cod|rankeds
bran,ryz|hari|olag|renekt|maplh|aka|jan|vaine|fio|facepalm
3vs,2vs|4vs|vs1|v1|vs5|cm|v5|1vs|v2|seg
doit,pue|potes|reste|lui|ces|francais|voir|veut|parle|fran
ghj,gotcha|gooooo|omgh|yw|wops|nj|spoko|nice1|zzzzzzzz|gh
hooks,crits|barrel|tactics|dcs|juke|luk|suger|witz|shark|goed
ame,nei|dah|valla|corre|dole|ita|idiota|gol|ataca|perdido
below,
barons,dragons|drakes|killz|inhibs|inh|kilsl|kils|inhi|drkae|inib
scape,smd|remeber|moove|putta|pentakill|repoort|gangbang|whyy|debil|yw
durr,hurr|wtfff|gh|boo|nj|spoko|slowpoke|nm|yw|opa
immortal,godlike|unkillable|backdooring|dea|ded|rich|underfarmed|drunken|overfed|stoned
warning,info|fairplay|balance|kss|okai
annoyed,surprised|zoned|cocky|confused|rich|outplayed|outfarmed|nervous|towerdived|countered
dik,dickk|d1ck|papa|runer|teamates|leg|donkey|suka|taste|duck
newbs,campers|retardeds|nubs|dumbs|kiddys|pedobear|shiiit|animals|lows|naabs
casse,francais|petit|potes|gamin|pue|voir|veut|couille|aller|fran
tenia,tengo|tiene|antes|hace|podemos|cuando|dice|hago|contigo|ahora
step,shat
standard,funy|cheap|testa|wort|breaking|rare|looooooooool|kewl|wierd|woo
targets,qqs|ret|mov|lives|crits|mighty|taunts|feet|six|names
jungla,boca|putta|linea|serio|sisi|estamos|calla|hablas|maricon|despues
perder,hablar|tiempo|estas|morir|ganar|todos|nos|vamos|gracias|ahora
aprende,vete|reportar|perder|cagar|iba|quien|vamos|morir|hablar|ganar
dumbfuck,freaks|vodka|jebany|ole|boon|dah|david|suka|manu|dole
everygame,
takin,leme|stolen|tkae|nned|hun|leach|stealed|buf|letme|steel
mercury,mercs|penetration|banshee|atma|inf|rylai|banshees|merc|triforce|thorn
willl,wonna|shuld|wll|wil|cud|inb4|becose|iwll|dopnt
panic,ush|0o|noooooo|aight|surprise|masturbate|reallly|noooooooooob|wtfff|fffs
durch,kommen|zeit|gegner|ganze|beide|anderen|gehen|holen|dann|meinen
depush,owm|cming|comign|commin|ss1|poush|ome|psuh|psh|ss2
ulting,backdooring|pushin|troling|counterjungling|farmin|derping|suiciding|recalling|eating|downloading
ave,gel|eimai|vittu|kanei|nei|daha|yok|bonne|etsi|exw
facechecking,downloading|dl|hating|afl|runnin|derping|falming|download|dreaming|sucide
motherfcker,bitche|mimimi|noobbb|noooooobs|pffff|cocksucker|fucknig|bithc|wanker|fker
wise,breaking|lovely|kewl|mission|goal|drugs|cheap|skils
liked,appreciate|explains|doubt|matters|luv|known
sdf,fitta|opa|lekker|headshot|brbr|fg|dayum|fffs|ole|mimi
euro,asists|niveau|nivel|assis|jahre|seg|hea|hop|crits|shift
babe,guise|okok|honey|sho|pzl|y2|yap|oks|yess|dawg
period,mission|poop|cum|poo|channel|shitting|butt|duty|rampage|voice
gear,equip|eq|scor|glasses|rampage|itembuild|pinks|rp|finger|shurelias
direct,peter|premier|tourelle|leur|jvais|dois|moins|depop|ses|vien
ply,ntm|gogogogo|coime|boo|nooooooooooob|waw|heu|orly|debil|opa
silent,quiet|polite|honest|carefull|agressiv|careful|nervous|friendly|agresive|rude
barron,drak|abron|baorn|nahs|drk|baro|braon|barin|drkae|drg
mne,pol|moze|jebany|bana|kanw|oni|raz|tez|chyba|exeis
yous,mist|tom|zwo|gy|dej|jebany|fg|gerne|aj|idi
ussles,cheated|proo|prooo|premad|brave|guud|mexican|gotcha|esl|pr0
feeeder,nooooooooob|nice1|omgg|jajajajajaja|opmg|thc|nooooooooooob|fj|loll|tks
feared,distracted|trapped|snared|confused|slowed|doublebuff|smoking|bursted|asleep|dea
52,67|56|86|47|65|64|44|58|66|57
book,guide|guides|forum
mmmm,ajajaj|mmm|headshot|spoko|oha|goooo|fg|tee|loooooooooool|yyy
reconect,reconnect|reco|unward|recal|50g|rq|remeber|diee|adk|pee
eleos,pio|esu|oxi|eisai|zwo|kala|ante|jla|nai|skase
fffs,loooooooooool|wtfff|brbr|goooo|trololololo|opa|noraj|nwm|gooooo|nooooooooooooooo
attend,crois|vois|sinon|parle|francais|veut|voir|tiens|voila|baise
dragons,barons|inhibs|feederv|drkae|ob|drakes|sut|reds|drg|shurelias
hu,nooooooooo|aie|pmg|haa|yees|ahhh|overkill|fc|loooooooooool|erf
porco,ole|jugando|mono|nx|idiota|dole|dai|kurac|vo|tos
boca,linea|vez|equipo|ostia|vaya|partida|maricon|tambien|colega|calla
toll,gefeeded|dumme|danke|kacke|killt|gefeedet|krass|bel|reporten|spiele
opmg,nice1|gooooo|omgh|omng|trololololo|nooooooooooob|wops|wtffff|laaag|opa
iknow,dide|wtrf|iomg|cani|evne|manu|2late|alo|oft|glhf
yeee,jajajajaja|jea|opa|gotcha|lalala|nice1|gh|hahahahahahah|wtfff|congratz
spears,shadow|finger|skillshots|bombs|channel|ccs|taste|boost|legs|toss
eazy,eas|esay|izi|freee|spin|woo|glhf|gk|hehehe|mkay
spielst,sagst|spast|siehst|hund|kleiner|warst|kommst|kannst|hure|lappen
splat,spike|soory|spikes|client|vieux|ugh|error|congratz|major|woah
nciht,runter|eigentlich|heute|dass|naja|heul|selbst|lieber|alleine|wollt
bind,exhasut|sacrifice|root|bump|cage|ignor|juked|stu|feared|fling
drkae,abron|drk|baro|dargon|drg|drago|nahs|drak|barron|bron
1vs3,tra|suka|masturbate|oj|afl|mul|batard|sim|comprend|boloss
gjj,omng|ahahahahha|laaag|opmg|nooooooooooooooo|profit|haa|omgh|lagggg|xdx3
hola,corre|colega|mete|valla|jugando|maricon|subnormal|ellos|vaya|amos
flying,duck|fuckl|hamster|misclick|actual|hater|banana|joker|geek|rats
fiona,oooo|huhu|tarik|lalala|hahahahahahah|tlaon|mrode|vodka|xi|ashee
vient,laisse|retourne|mieux|veut|francais|chaud|temps|vien|mange|tous
tops,bopt|muid|maok|toop|botr|mdrr|alredy|bto|boty|mod
shure,hehehe|headshot|hahahahahahah|gol|ouh|ehhh|nm|jj|mda|yyy
order,general|pit|kitchen|future|pula|mood|air|grass|teamchat|3vs3
scroll,shup|sut|feederv|shu|messed|feedershut|hurry|wake|grow|fuked
slowly,opk|headshot|jup|fs|nm|bum|dayum|reward|braon|fffs
pena,igual|retrasado|asco|esto|venga|gilipollas|cojones|ostia|aqui|verdad
heracim,alista|vaine|renk|phant|gankplank|nocturn|trinda|gangplank|irellia|udry
season,8k|9k|cm|nr|v1|3vs|6k|2vs|7k|weeks
tag,wenigstens|musste|witz|flamen|leise|geld|ruhig|schwul|nochmal|sowieso
perdu,gagner|perd|qu|reste|nous|tous|demande|jouer|veut|fait
uninstal,delet|unistall|deinstall|unistal|rec|exit|finsh|delete|ruiner|uninstall
invaded,switched|respawned|pinked|soloed|invading|spawned|dove|poked|pushe|initiated
ig,kes|hai|bom|papa|mesmo|sus|isto|abi|eee|dole
fio,akli|hari|maplh|ryz|caytlin|darus|renk|trsit|vayn|fior
ine,eisai|exeis|esu|eleos|pio|zwo|kala|gia|alla|ante
ezz,ashee|alista|tiwtch|spamer|udry|xi|agin|vyane|mudno|tryda
mecs,etes|mange|gamin|rageux|ais|faite|gens|chaud|mieux|potes
whata,fuckig|fagg|fcuking|fuckn|sucha|donkey|bitche|fuckl|noop|noobbb
cojones,jugando|gilipollas|vaya|contigo|retrasado|ostia|macho|esk|colega|claro
misclick,laag|missclick|laggg|blizz|twicht|xs|bugg|argh|phanteon|luc
bluie,lbue|reds|barron|blie|barin|bleu|drak|oralce|abron|splitpush
ciao,jajajajaja|omng|xi|ahahahahha|haa|opa|ahhhh|aaaa|yees|ahhah
spiele,nciht|selber|danach|eigentlich|laber|unten|lieber|rennt|selbst|oben
rushed,ruhe|chilling|facechecked|waits|sleeps|freaks|sat|heu|whait|morgen
parles,vois|fais|pue|parle|coup|crever|pourquoi|crois|taper|prends
soory,nwm|wtfff|wops|woah|yyy|fuuuu|congratz|grrr|laaag|epik
basics,meaning|legends|band|doom|legend|text|sons|beware|curse|result
ena,twra|exeis|gia|kanei|oti|kanw|pio|kad|8a|samo
alo,dole|manu|aso|fg|tez|kes|suka|dobrze|ise|behindert
halp,okai|ramm|heklp|lul|y2|pulll|protec|jac|hlp|psh
figh,focuse|bck|stall|farme|whyy|1vs5|blam|smd|interupt|crush
lure,fling|root|harrass|ambush|deny|zone|killl|kileld|1shot|kite
omgh,opmg|loooooooooooool|ghj|gooooo|gotcha|omng|fj|nice1|hahahahhahaha|brbr
eva,euw|eu|europe|farmer|palyer|teamplayer|malzhar|playa|loooooool|gamers
phreak,dyrus|male|laggin|mario|chuck|pokemon|hungry|clg|hon
trick,juke|headbutt|shark|update|bugg|sarcasm|decision|nick|mentality|teamplayer
irony,dman|nooooooo|jezus|faq|snap|fuckl|sarcasm|noes|fak|fkc
duno,
zig,riv|skaner|malh|zigg|yorik|vaine|shac|fiddel|siv|aniva
akf,adk|jewish|laggin|lolilol|drunken|dea|solobot|bum|laging|jea
page,mastery|rune|masteries|arp|ms|pene|armour|runes|cooldowns|spec
foi,jsui|entre|comeme|pete|pq|blague|ala|faz|mio|isto
4v6,kewl|kl|opk|jup|imposible|looose|closed|testa|2vs3|aight
throwed,ruins|previous|ruine|threw|ruiner|trow|throws|joined|trhow|crashed
stoned,rich|laggin|recording|confused|laging|hungry|smurfing|immortal|law|underfarmed
nahh,nice1|xdddddddddddddddd|gotcha|gjh|premad|fj|hahahahhahaha|zzzzzzzz|nooooooooooob|omgh
ase,exeis|twra|paw|ena|8a|esu|oni|gia|sta|ela
personne,commence|allez|ici|doit|pue|crire|vien|connard|mieux|bordel
intelligent,clever|helpful|mature|strange|interesting|baad|nooblike|anoying|immature|disgusting
nadie,tiempo|ahora|nosotros|pues|juego|tanto|hablar|eso|xk|otra
enage,afl|surrener|engange|pvp|retreat|ghj|bck|gankl|focu|oomg
omh,geegee|goooo|gogogogo|fffs|zzzzzzzz|ntm|lole|wops|ololo|opmg
anf,irelai|simon|twist|wann|kenny|4x|igo|fora|s2|wand
equal,kewl|cheap|gd|empty|deze|ft|46|losed|losse|ower
helo,helpo|mimi|hahahahahahahah|fj|grr|whyy|gankl|whaha|ghj|lcuker
older,slower|betetr|bigger|worse|beter|lower|stronger|tankier|higher
akaly,varys|cassa|nasusu|tryda|xi|hari|irelai|panteon|olag|trinda
idito,nooooooooooob|opmg|boo|feeeder|lcuker|gogogogo|wops|thc|loll|nnoob
farmin,pushin|derping|backdooring|soloing|downloading|ulting|counterjungling|dreaming|fedd|facechecking
esk,esto|estar|vez|claro|aqui|colega|jugando|mejor|siempre|dios
undertower,1vs4|allone|togther|1v4|togetehr|togheter|lego|bort|toghether|bakc
cryer,retared|hater|cocksucker|noov|disgusting|gaylord|bitche|geek|kiddie|ragekid
prends,vois|baise|tuer|mange|prend|jsais|coup|chez|pue|moin
bekommen,beide|schnell|dann|einmal|kommen|lassen|zeit|gehen|eben|jeden
5vs1,glhf|4vs1|5v2|ahahahahha|fidlle|whaha|oha|looooool|haa|feders
puh,oha|spoko|fg|aso|nooooooooo|wtfff|fffs|jaki|headshot|heu
6k,7k|5k|8k|4k|3k|9k|56|54|cm|49
ssen,anfang|ende|ernst|arsch|eure|leck|kopf|wir|feeden|nur
fini,vrai|abruti|jeux|chaud|eux|tkt|chui|vite|etait|mieu
smit,flas|utli|oe|uklt|utl|ingite|cooldowns|deathfire|flahs|ex
mather,geek|dik|donkey|fucck|fedder|imbecil|wanker|hacker|homo|fckign
yok,daha|tenho|amk|mer|aq|exw|bana|git|iyi|ett
keeping,holding|walks|carring
leach,leech|gimme|leme|takin|ineed|buf|pul|steel|stolen|nned
goooo,gogogog|fffs|ntm|sryy|gooooo|wtfff|opa|brbr|trololololo|loooooooooool
sem,tenho|fdx|sempre|tens|bem|uma|tava|nao|ainda|faz
england,chinese|poland|china|germany|tsm|france|russia|reallife|sweden|turkey
mkay,nooooooooooooooo|spoko|gooooo|loooooooool|trolololol|gh|yesss|wtv|lkol|noraj
arab,trollgame|pirate|putos|dole|geek|mission|david|sisi|mongol|sdf
gibt,wird|alles|wohl|bringt|egal|voll|sagen|naja|lustig|diese
sniper,gotcha|yw|ghj|nj|jj|hahahahahha|fuuu|pg|okk|lcuker
biot,malh|boty|bpt|botr|toip|tiop|bto|boit|topp|botom
batard,boloss|ptin|ole|couille|gamin|bordel|jla|moin|compte|mange
likely,
pusssy,gaylord|kidd|noobo|ragekid|bich|geek|pedo|reatard|dumbs|idioot
jebem,mater|samo|kaneis|kad|twra|kurac|agora|dobrze|egw|tez
ijo,hijo|hijos|linea|mierda|paso|calla|ostia|callate|culpa|puta
impressive,yw|haa|hater|hahahahahha|ouch|profit|nj|runer|hahahahahahah|gotcha
puhs,poush|finis|psh|surrener|surrnder|oush|ntm|ush|woop|puish
htis,tihs|seriusly|youu|yuou|ggwp|thios|bitche|hahaah|woah|oooo
hte,xs|teh
daf,danke|det|vad|feeden|jag|hilfe|ham|dig|mich|sprache
recording,laging|laggin|stoned|confused|law|hungry|smurfing|surprised|testing|pwning
mums,mothers|sister|boyfriend|fathers|arse|dad|daddy|family|asss|parents
connais,veu|vois|pourquoi|tai|ptin|pue|crois|comprend|veux|sui
schaden,warum|aus|bringt|sowas|alleine|mache|nichts|nix|ihn|eig
ruhig,leise|jude|runter|kleine|kleiner|ins|selbst|passt|eigentlich|lappen
runen,als|mehr|gehts|mache|schaden|gesagt|alles|veel|sowieso|auch
perfectly,david|nej|boi|mc|ny|omm|iz|dole|pedobear|nm
gegner,zeit|kommen|ganze|durch|immer|gehen|wenn|anderen|beide|sagen
cocks,dicks|cock|ballz|d1ck|dik|finger|skillz|grandma|teamates|bich
verloren,selbst|passt|ruhig|rum|unten|heute|oben|doof|heul|dass
elos,bobs|bob|healt|jojo|gaming
pierdole,nawet|wiem|czemu|grac|juz|dobra|kla|tez|jaki|cie
cum,poop|tue|kes|oti|dole|egw|eto|samo|mul|david
repoirt,repoort|repotr|repoert|reoprt|foc|tks|reprt|nooooooooooob|rport|wf
jajajja,putta|porq|subnormal|colega|hablas|calla|corre|ami|mete|habla
thormail,pinks|thorn|orcale|banshee|banshees|oracel|inf|shurelias|hexdrinker|randuin
brained,disgusting|prooo|guud|ussles|unluck|baad|unbrain|nooblike|badd|feded
strategy,testa|dah|sio|diff|hamster|kss|tean|playa|woo|tactic
fiddlesticks,tryda|alista|ezz|xi|phanteon|udry|simon|darus|katha|lalala
shu,shup|sut|feederv|scroll|feedershut|fuked|hurry|messed|wake|whut
meer,jij|toch|weer|nog|maar|veel|dus|aan|zijn|heb
fcker,fuker|fker|fucknig|fagot|fucke|fucker|fuckers|donkey|jajajajajaja|kidd
ypu,yoiu|yopu|alista|mudno|nb|yess|ezz|yiou|jut|bopt
malos,seguro|cosa|suerte|creo|aqui|unos|peor|esk|facil|estar
route,
shac,olag|popy|shacko|riv|malh|wk|alista|udry|vaine|y2
git,amk|bana|daha|eto|fg|paw|adam|rapido|moze|yok
cm,seg|3vs|nivel|aps|mn|somos|meter|8k|foi|veces
falming,downloading|bitching|trashtalking|cryin|flameing|lying|qqing|chatting|arguing|flamme
tylko,teraz|grac|juz|cie|chuj|tego|wiem|jak|bylo|nie
sollte,nciht|eigentlich|wissen|selbst|gesagt|raus|passt|endlich|tut|glaub
area,pit|2min|water|cleared|20sec|expired|sight|barin|ish|1min
botr,boty|malh|bto|mif|skaner|ssmid|fidel|toop|toip|biot
whoops,laaag|loooooooooool|gjgj|sstop|gooooo|lole|trololololo|loooooooool|lkol|hhhh
scepter,merc|atma|atmas|void|inf|shurelias|banshees|abysal|stone|philo
tro,osef|ici|crire|salope|dur|chui|abruti|jeux|couille|soit
tick,whisper|hiting|night|round
pere,pote|donne|chui|couille|mange|gamin|ses|compte|blague|arabe
laaag,trololololo|opmg|gooooo|nooooooooooooooo|noraj|lkol|brbr|mfg|loooooooooool|sryy
tears,vagina|playstyle|finger|tits|mums|sister|hands|mothers|penis|fathers
deserved,spin|deserves|worht|eazy|deserv|woth|freee
dominated,dominate|oush|freeze|ungankable|roamed|snowballed|pushe|roams|camps|gankable
chaud,mieux|etait|vrai|gamin|mieu|vient|ouai|potes|facile|drole
nooooooooo,oha|haa|loooooooool|yees|ahahahahha|noooooooooob|loooooooooool|woooow|lagggg|looooool
fucki,fuckgin|frenchies|fucknig|fedder|fukcing|fucing|fcuking|fuckig|donkey|boon
morir,estas|joder|quien|hablar|luego|vez|otra|torre|poco|ahora
dislike,ahte|h8|nooooooooob|comeon|jajajajajaja|whait|remeber|fuuuck|gh|whyy
toujours,avant|genre|ces|putain|serieux|jsais|chez|vite|bordel|chui
aware,proud|kind|afraid|honest|infront|polite|careful|legends|league|doom
gamo,sou|gamw|sas|tin|mouni|exeis|kanei|exw|etsi|kai
putting,places|living|brushes|dancing
fertig,ihn|sowas|nichts|warum|selbst|gleich|gesagt|jetz|dann|nix
alte,lat|guud|dangerous|lazy|knapp|kleinen|music|leg|esay|digga
aaah,nooooooooo|spoko|oha|wtfff|jajajajaja|xdx3|ahahahahha|yees|glhf|loooooooool
ns,maman|couille|boloss|casa|chi|sal|blague|fds|jsui|batard
nit,schwul|bleiben|sowieso|stimmt|jaa|wissen|gerne|niemand|trotzdem|sehen
several,three
nnoob,nooooooob|lcuker|jajajajajaja|nooooooooob|retared|nooooooooooob|fj|reatrd|noooooob|idito
grade,wenigstens|musste|kannste|tag|wirklich|unten|passiert|sowieso|sonst|rum
yeahh,kkk|ole|opa|congratz|loooooooooool|jebane|suka|jajajajaja|heu|fffs
despues,otra|vez|partida|tambien|estoy|hablas|poco|mato|gilipollas|ostia
goign,heading|comin|cming|goin|wardet|comeing|commin|comign|comming|depush
apprendre,jouer|rien|parler|apprend|connard|dire|crire|lui|etre|ouai
reportar,aprende|perder|matar|joder|todos|morir|vete|cagar|torre|hablar
notre,votre|toute|une|cette|vien|drole|apres|vrai|ce|gaffe
allone,lego|undertower|pacman|safer|barbie|omh|1vs4|adk|tutorial|mario
future,kitchen|teamchat|forum|mood|general|corner|log|air|grass|lobby
retared,disgusting|nnoob|mexican|cocksucker|geek|cryer|mentaly|bitche|lcuker|hater
mdrr,ciao|suka|oha|batard|aso|boi|ftg|gjj|mimi|boloss
knocked,knock|fuckd|kicked|scroll|fuked|messed|shup|showed|blew|healed
irellia,heracim|kenenn|panteon|renk|yorrick|alista|vyane|fio|daruis|trinda
mange,donne|perdre|calme|faite|baise|couille|suce|chez|voila|temps
aider,aide|seul|nul|mort|tais|chier|vraiment|fou|pire|avais
cancel,activate|burned|pop|dodged|cast|remove|darn|landed|sue|15s
ag,jos|manu|bana|kes|eee|mul|orospu|nej|sisi|sm
doublebuff,repoert|oralce|shurelyas|kited|sniper|abysal|nj|gunblade|hexdrinker|dcs
wd,opa|okej|bana|lole|fg|spoko|jaki|mda|nei|suka
ahahhahaha,noobz|noooobs|naps|4vs1|hahahahaha|noooooobs|preamde
smd,huhu|nooooooooooob|heu|ntm|lagggg|omgh|wops|yw|fj|sdf
spent,spend|wast|6th
stacking,pene|83|84|66|88|pen|ring|geen|mercury|penetration
