i,u|you
dumb,stupid|retarded|blind|annoying|bad|pathetic|braindead|gay|crazy|lucky
rage,cry|flame|raging|whining
lucker,kser|noooob|hacker|nob|looser|nooooob|nobo|nooob|failer|cheater
lb,fizz|brand|talon|anivia|ryze|ahri|morde|swain|jax|kassa
srsly,seriously
trash,tard|retarded
nvm,
must,should|shouldnt|will|may|gotta|cannot|ll|might|wont|could
gold,money|golds|stacks|ie
base,bush|fountain|nexus|spawn|brush|home
guy,person
bitch,whore|cunt|moron|faggot|bastard|biatch|child|dog|fag|jew
move,react|engage
leona,taric|soraka|sona|janna|lulu|alistar|nunu|blitz|trist|nida
very,pretty|soo|sooo|quite
ignite,exhaust|heal|ghost|flash|shield|stun|ulty|taunt|silence|ulti
getting,gettin|geting
blame,blaming|flame|follow|tell
big,
fun,
player,players
skill,skills|spell
nah,nope
ah,ahh|yh|ow|ho|ohh|aw|ooh|hm
panth,gp|jax|riven|ww|vlad|morde|olaf|udyr|irelia|malph
l,tt|autre|sen|nn|nas|ett|vla|pr|vi|mer
twitch,shyvana|jarvan|fiora|gp|trynd|nautilus|poppy|voli|wukong|mundo
n1,ncie|nc|nice|gz|epic|gj|niec
items,stuff|runes|item|lifesteal|lasthits|build|boots|equip|armor|stats
cassio,ahri|morgana|brand|ziggs|gragas|ryze|anivia|annie|malph|kennen
sucks,sux|sucked|suck
trist,graves|mf|corki|vayne|ez|urgot|cait|ashe|sivir|kog
idiots,retards|tards|noobs|morons|kids|ppl|bitches
keep,stop
already,
mean,think|know
sin,
doesnt,doenst|dosent|dont
en,ils|va|la|bien|deja|chier|par|gaffe|quand|viens
jarvan,gp|twitch|udyr|amumu|gragas|olaf|panth|noc|riven|mundo
kayle,nunu|lulu|lux|teemo|sion|gp|malph|nida|ryze|urgot
trynda,garen|nasus|wukong|tryn|teemo|fiora|kata|trynd|singed|pantheon
cool,smart|rude|funny|difficult|clever|weird|strange
premade,
true,insane
full,
skarner,naut|amumu|noc|udyr|mundo|ww|malph|panth|shyv|mumu
against,vs
anyway,anyways|otherwise
didn,couldn|wouldn|doesn|don|shouldn|hadn|haven|hasn|weren|havn
fck,fk|fuk|fuckk|fuck|fack|fuuck
30,15|25|40|18|10|22|20|17|27|14
te,era|si|sabes|ahora|haber|mejor|nosotros|ves|manco|nos
sad,funny|pathetic|boring|unfair|annoying|lame|horrible|bad|amazing|dumb
ta,elle|qui|sa|vos|ton|une|votre|moi|malaka|ce
si,que|ahora|ke|cuando|como|pero|nos|con|asi|sabes
nida,nidalee|kayle|lulu|sion|heimer|urgot|nunu|garen|leona|gp
qq,whine|cry|whining|crying|complaining
minions,creeps|minion|creep
early,late
talking,talkin|crying|speaking|complaining|whining|writing
kassa,ahri|swain|fizz|annie|lb|darius|jax|ryze|riven|kass
hope,bet
ziggs,gragas|brand|malz|annie|cassio|anivia|lux|ryze|veigar|orianna
drag,drake|dragon|nash|baron|nashor|golems|inhib
mother,mom|mum|father|family|dad|self|sister|parents|mothers|friend
mom,mother|mum|father|dad|family|sister|self|parents|mothers|friend
ignore,mute|ignored|muted
un,toi|une|hein|bien|pour|alors|va|quoi|tu|etre
es,jajaj|ese|deg|buena|con|uno|ahi|numero|muy|eres
