400080,0,0,Assisting Enemy Team,4,0,5,1757
400080,1,0,Offensive Language,1,0,5,1810
400407,0,0,Negative Attitude,3,0,7,1789
400407,1,0,Verbal Abuse,1,1,7,1692
400407,2,0,Verbal Abuse,2,0,7,2701
400485,0,0,Offensive Language,1,2,6,2192
400485,1,0,Offensive Language,3,0,6,1736
400989,0,0,Offensive Language,1,1,6,1559
400989,1,0,Negative Attitude,1,1,6,2775
400989,2,0,Verbal Abuse,2,0,6,1722
400086,0,1,Offensive Language,0,3,9,965
400086,1,1,Verbal Abuse,0,2,9,1393
400086,2,0,Verbal Abuse,0,2,9,1967
400086,3,0,Verbal Abuse,2,0,9,1161
400439,0,0,Offensive Language,2,0,10,1318
400439,1,0,Negative Attitude,2,0,10,1525
400439,2,0,Offensive Language,2,0,10,1701
400439,3,0,Assisting Enemy Team,1,1,10,1417
400439,4,0,Intentionally Feeding,2,0,10,2188
400365,0,0,Verbal Abuse,2,3,7,1623
400365,1,0,Verbal Abuse,1,1,7,2500
400338,0,0,Negative Attitude,3,0,9,3026
400338,1,0,Assisting Enemy Team,3,0,9,2620
400338,2,0,Intentionally Feeding,3,0,9,1896
400494,0,0,Intentionally Feeding,2,2,11,1928
400494,1,0,Offensive Language,3,0,11,2065
400494,2,0,Intentionally Feeding,1,1,11,2529
400494,3,0,Intentionally Feeding,2,0,11,2163
400822,0,0,Verbal Abuse,3,0,9,4500
400822,1,0,Offensive Language,0,2,9,1813
400822,2,0,Assisting Enemy Team,2,0,9,2137
400822,3,0,Offensive Language,1,1,9,1848
400857,0,0,Negative Attitude,2,0,8,1750
400857,1,0,Offensive Language,2,0,8,2381
400857,2,0,Spamming,2,0,8,1228
400857,3,0,Verbal Abuse,2,0,8,2156
400332,0,0,Intentionally Feeding,2,2,15,2920
400332,1,0,Assisting Enemy Team,2,2,15,2373
400332,2,1,Intentionally Feeding,0,4,15,2322
400332,3,0,Assisting Enemy Team,3,0,15,1376
400976,0,0,Offensive Language,1,3,9,2232
400976,1,0,Intentionally Feeding,2,1,9,2617
400976,2,0,Verbal Abuse,0,2,9,2298
400343,0,0,Assisting Enemy Team,4,0,16,2018
